Date,Type,Amount,Year,Month
2025-01-01,Income,26962.0,2025,1
2025-01-03,Income,34781.6,2025,1
2025-01-04,Income,14519.9,2025,1
2025-01-06,Income,29475.2,2025,1
2025-01-07,Income,28294.8,2025,1
2025-01-08,Income,24087.0,2025,1
2025-01-09,Income,9075.4,2025,1
2025-01-10,Income,37083.9,2025,1
2025-01-11,Income,3300.0,2025,1
2025-01-13,Income,26805.8,2025,1
2025-01-14,Income,28885.1,2025,1
2025-01-15,Income,23408.9,2025,1
2025-01-17,Income,31505.8,2025,1
2025-01-19,Income,12098.0,2025,1
2025-01-20,Income,25595.6,2025,1
2025-01-21,Income,30026.7,2025,1
2025-01-22,Income,22870.8,2025,1
2025-01-23,Income,5783.1,2025,1
2025-01-24,Income,21896.0,2025,1
2025-01-25,Income,17602.6,2025,1
2025-01-27,Income,30755.1,2025,1
2025-01-28,Income,32665.6,2025,1
2025-01-29,Income,24271.6,2025,1
2025-01-30,Income,6046.2,2025,1
2025-01-31,Income,36233.2,2025,1
2025-02-01,Income,21137.0,2025,2
2025-02-03,Income,28372.8,2025,2
2025-02-04,Income,33362.6,2025,2
2025-02-05,Income,29432.8,2025,2
2025-02-06,Income,7510.8,2025,2
2025-02-07,Income,30825.2,2025,2
2025-02-10,Income,33207.4,2025,2
2025-02-11,Income,33136.1,2025,2
2025-02-12,Income,28480.4,2025,2
2025-02-13,Income,2760.0,2025,2
2025-02-14,Income,28683.69,2025,2
2025-02-15,Income,12637.29,2025,2
2025-02-17,Income,31482.0,2025,2
2025-02-19,Income,26222.0,2025,2
2025-02-20,Income,32333.4,2025,2
2025-02-21,Income,26628.0,2025,2
2025-02-24,Income,28151.2,2025,2
2025-02-26,Income,29312.8,2025,2
2025-02-27,Income,38527.2,2025,2
2025-02-28,Income,37496.0,2025,2
2025-03-03,Income,30372.8,2025,3
2025-03-04,Income,32319.6,2025,3
2025-03-05,Income,25572.8,2025,3
2025-03-06,Income,5910.8,2025,3
2025-03-07,Income,31485.2,2025,3
2025-03-09,Income,8197.2,2025,3
2025-03-10,Income,35952.8,2025,3
2025-03-11,Income,29573.4,2025,3
2025-03-12,Income,25052.8,2025,3
2025-03-14,Income,28856.0,2025,3
2025-03-17,Income,34043.6,2025,3
2025-03-18,Income,29122.6,2025,3
2025-03-19,Income,21171.2,2025,3
2025-03-20,Income,3668.5,2025,3
2025-03-21,Income,34646.0,2025,3
2025-03-24,Income,28924.8,2025,3
2025-03-25,Income,32945.2,2025,3
2025-03-26,Income,27003.6,2025,3
2025-03-28,Income,34576.0,2025,3
2025-03-30,Income,11597.2,2025,3
2025-03-31,Income,32943.6,2025,3
2025-04-01,Income,32648.5,2025,4
2025-04-02,Income,28103.6,2025,4
2025-04-03,Income,3781.2,2025,4
2025-04-04,Income,34996.0,2025,4
2025-04-06,Income,13697.2,2025,4
2025-04-07,Income,23923.6,2025,4
2025-04-08,Income,26792.7,2025,4
2025-04-09,Income,31422.8,2025,4
2025-04-10,Income,25519.0,2025,4
2025-04-11,Income,25519.0,2025,4
2025-04-14,Income,24967.4,2025,4
2025-04-15,Income,28094.5,2025,4
2025-04-16,Income,35129.8,2025,4
2025-04-17,Income,55558.8,2025,4
2025-04-18,Income,25209.6,2025,4
2025-04-21,Income,26612.8,2025,4
2025-04-22,Income,29157.1,2025,4
2025-04-23,Income,30668.2,2025,4
2025-04-24,Income,7462.4,2025,4
2025-04-25,Income,29589.8,2025,4
2025-04-28,Income,28052.8,2025,4
2025-04-29,Income,28387.4,2025,4
2025-04-30,Income,28387.4,2025,4
2025-05-01,Income,3429.3,2025,5
2025-05-02,Income,36639.2,2025,5
2025-05-03,Income,18564.2,2025,5
2025-05-05,Income,28898.2,2025,5
2025-05-06,Income,44311.8,2025,5
2025-05-07,Income,20038.6,2025,5
2025-05-08,Income,3661.6,2025,5
