Date,Category,Category Group,Amount,Year,Month
2024-12-30,ELECTRICITY,Utilities,1500.0,2024,12
2024-12-30,FUEL/TOLL,Transportation,1125.31,2024,12
2024-12-30,MAKRO,Supplies,679.8,2024,12
2024-12-30,OTHER,Other Expenses,194.96,2024,12
2024-12-30,SHOPRITE,Supplies,439.88,2024,12
2024-12-30,T/BANTU SWEETS,Raw Materials,178.0,2024,12
2024-12-30,WASI,Raw Materials,6995.64,2024,12
2024-12-31,BAKERSBIN,Raw Materials,3176.0,2024,12
2024-12-31,FUEL/TOLL,Transportation,1902.67,2024,12
2024-12-31,OTHER,Other Expenses,252.0,2024,12
2024-12-31,SHOPRITE,Supplies,286.9,2024,12
2024-12-31,T/BANTU SWEETS,Raw Materials,90.0,2024,12
2024-12-31,WASI,Raw Materials,5765.73,2024,12
2025-01-01,FUEL/TOLL,Transportation,1100.0,2025,1
2025-01-02,FUEL/TOLL,Transportation,300.0,2025,1
2025-01-02,OTHER,Other Expenses,131.98,2025,1
2025-01-02,WASI,Raw Materials,6147.5,2025,1
2025-01-03,FUEL/TOLL,Transportation,704.64,2025,1
2025-01-03,SHOPRITE,Supplies,469.89,2025,1
2025-01-04,ELECTRICITY,Utilities,1500.0,2025,1
2025-01-04,FUEL/TOLL,Transportation,750.0,2025,1
2025-01-04,SHOPRITE,Supplies,209.93,2025,1
2025-01-04,WAGES,Labor,18010.0,2025,1
2025-01-04,WASI,Raw Materials,5716.55,2025,1
2025-01-05,OTHER,Other Expenses,178.98,2025,1
2025-01-06,CAVALIERI,Other Expenses,575.0,2025,1
2025-01-06,FUEL/TOLL,Transportation,575.18,2025,1
2025-01-06,HYPER SWEETS,Raw Materials,2472.0,2025,1
2025-01-06,MAKRO,Supplies,1733.8,2025,1
2025-01-06,OTHER,Other Expenses,289.0,2025,1
2025-01-06,SHOPRITE,Supplies,299.9,2025,1
2025-01-06,WAGES,Labor,12725.0,2025,1
2025-01-06,WASI,Raw Materials,6021.55,2025,1
2025-01-07,CHIPKINS,Raw Materials,28014.0,2025,1
2025-01-07,FUEL/TOLL,Transportation,2862.52,2025,1
2025-01-07,OTHER,Other Expenses,258.35,2025,1
2025-01-07,WASI,Raw Materials,7522.57,2025,1
2025-01-08,FUEL/TOLL,Transportation,800.0,2025,1
2025-01-09,FUEL/TOLL,Transportation,1157.22,2025,1
2025-01-09,OTHER,Other Expenses,25.0,2025,1
2025-01-09,SHOPRITE,Supplies,299.9,2025,1
2025-01-09,WASI,Raw Materials,6691.45,2025,1
2025-01-10,FUEL/TOLL,Transportation,804.72,2025,1
2025-01-11,FUEL/TOLL,Transportation,728.14,2025,1
2025-01-11,OTHER,Other Expenses,2650.0,2025,1
2025-01-11,WAGES,Labor,6700.0,2025,1
2025-01-12,ELECTRICITY,Utilities,1500.0,2025,1
2025-01-12,OTHER,Other Expenses,133.0,2025,1
2025-01-12,SHOPRITE,Supplies,494.83,2025,1
2025-01-12,WASI,Raw Materials,5030.58,2025,1
2025-01-13,FUEL/TOLL,Transportation,300.0,2025,1
2025-01-13,HYPER SWEETS,Raw Materials,672.0,2025,1
