Date,Category,Category Group,Amount,Year,Month
2024-12-31,BACK 2 BASICS,Other Expenses,252.0,2024,12
2024-12-31,BAKERSBIN,Raw Materials,3176.0,2024,12
2024-12-31,DIESEL,Other Expenses,744.67,2024,12
2024-12-31,DIESEL,Other Expenses,1000.0,2024,12
2024-12-31,HEIDEL EGGS,Other Expenses,6000.0,2024,12
2024-12-31,PNP,Other Expenses,990.23,2024,12
2024-12-31,SHOPRITE,Supplies,286.9,2024,12
2024-12-31,SOAP CENTRE,Other Expenses,570.0,2024,12
2024-12-31,TBANTU,Other Expenses,90.0,2024,12
2024-12-31,TOLL GATE,Transportation,79.0,2024,12
2024-12-31,TOLL GATE,Transportation,79.0,2024,12
2024-12-31,WASI,Raw Materials,5765.73,2024,12
2025-01-01,DIESEL,Other Expenses,300.0,2025,1
2025-01-01,DIESEL,Other Expenses,800.0,2025,1
2025-01-02,DIESEL,Other Expenses,300.0,2025,1
2025-01-02,PNP,Other Expenses,131.98,2025,1
2025-01-02,WASI,Raw Materials,6147.5,2025,1
2025-01-02,WASI,Raw Materials,7587.25,2025,1
2025-01-03,DIESEL,Other Expenses,704.64,2025,1
2025-01-03,SHOPRITE,Supplies,469.89,2025,1
2025-01-04,DIESEL,Other Expenses,750.0,2025,1
2025-01-04,ELECTRICITY,Utilities,1500.0,2025,1
2025-01-04,SHOPRITE,Supplies,209.93,2025,1
2025-01-04,WAGES,Labor,18010.0,2025,1
2025-01-04,WASI,Raw Materials,5716.55,2025,1
2025-01-05,AE BARB CS,Other Expenses,189.17,2025,1
2025-01-05,PNP,Other Expenses,178.98,2025,1
2025-01-05,WAS STORE,Other Expenses,40.0,2025,1
2025-01-06,CAVALIERI,Other Expenses,575.0,2025,1
2025-01-06,DIESEL,Other Expenses,575.18,2025,1
2025-01-06,FAMILY STORE,Other Expenses,289.0,2025,1
2025-01-06,HYPER SWEETS,Raw Materials,2472.0,2025,1
2025-01-06,MAKRO,Supplies,1733.8,2025,1
2025-01-06,SHOPRITE,Supplies,299.9,2025,1
2025-01-06,SOAP CENTRE,Other Expenses,570.0,2025,1
2025-01-06,WAGES,Labor,12725.0,2025,1
2025-01-06,WASI,Raw Materials,6021.55,2025,1
2025-01-07,AE BARB CS,Other Expenses,258.35,2025,1
2025-01-07,AE CAROLINA,Other Expenses,51.0,2025,1
2025-01-07,AE CAROLINA,Other Expenses,114.99,2025,1
2025-01-07,CHIPKINS,Raw Materials,28014.0,2025,1
2025-01-07,DIESEL,Other Expenses,804.52,2025,1
2025-01-07,DIESEL,Other Expenses,400.0,2025,1
2025-01-07,DIESL/PETROL,Other Expenses,1500.0,2025,1
2025-01-07,HEIDEL EGGS,Other Expenses,6000.0,2025,1
2025-01-07,PROBUILD,Other Expenses,86.96,2025,1
2025-01-07,TOLL GATE,Transportation,79.0,2025,1
2025-01-07,TOLL GATE,Transportation,79.0,2025,1
2025-01-07,WASI,Raw Materials,7522.57,2025,1
2025-01-08,DIESEL,Other Expenses,800.0,2025,1
