Week,Year,Store,CakeType,Delivered,DeliveryAmount
31 MAR - 6 APR 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,40.0,4508.0
31 MAR - 6 APR 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,24.0,2704.8
31 MAR - 6 APR 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,12.0,1435.1999999999998
31 MAR - 6 APR 2025,2025,HYPER CHECKERS ORCHADS,CHOCOLATE,64.0,7212.8
31 MAR - 6 APR 2025,2025,HYPER CHECKERS ORCHADS,VANILLA,28.0,3155.6
31 MAR - 6 APR 2025,2025,HYPER CHECKERS ORCHADS,CARROT,28.0,3348.7999999999997
31 MAR - 6 APR 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,44.0,4958.8
31 MAR - 6 APR 2025,2025,WITRIVIER CHECKERS,VANILLA,16.0,1803.2
31 MAR - 6 APR 2025,2025,WITRIVIER CHECKERS,CARROT,16.0,1913.6
31 MAR - 6 APR 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,260.0,29302.0
31 MAR - 6 APR 2025,2025,HAZYVIEW CHECKERS,VANILLA,76.0,8565.2
31 MAR - 6 APR 2025,2025,HAZYVIEW CHECKERS,CARROT,76.0,9089.6
31 MAR - 6 APR 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,16.0,1803.2
31 MAR - 6 APR 2025,2025,LYDENBURG CHECKERS,VANILLA,8.0,901.6
31 MAR - 6 APR 2025,2025,LYDENBURG CHECKERS,CARROT,10.0,1196.0
31 MAR - 6 APR 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,32.0,3606.4
31 MAR - 6 APR 2025,2025,MIDDELBRUG CHECKERS,VANILLA,10.0,1127.0
31 MAR - 6 APR 2025,2025,MIDDELBRUG CHECKERS,CARROT,10.0,1196.0
31 MAR - 6 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,52.0,5860.400000000001
31 MAR - 6 APR 2025,2025,ERMELO CHECKERS,VANILLA,12.0,1352.4
31 MAR - 6 APR 2025,2025,ERMELO CHECKERS,CARROT,12.0,1435.1999999999998
31 MAR - 6 APR 2025,2025,ERMELO MERINO MALL,CHOCOLATE,32.0,3606.4
31 MAR - 6 APR 2025,2025,ERMELO MERINO MALL,VANILLA,10.0,1127.0
31 MAR - 6 APR 2025,2025,ERMELO MERINO MALL,CARROT,10.0,1196.0
31 MAR - 6 APR 2025,2025,SAVEWAYS,CHOCOLATE,32.0,3606.4
31 MAR - 6 APR 2025,2025,SAVEWAYS,VANILLA,10.0,1127.0
31 MAR - 6 APR 2025,2025,SAVEWAYS,CARROT,10.0,1196.0
31 MAR - 6 APR 2025,2025,KLIPFONTEIN,CHOCOLATE,30.0,3381.0
31 MAR - 6 APR 2025,2025,KLIPFONTEIN,VANILLA,12.0,1352.4
31 MAR - 6 APR 2025,2025,KLIPFONTEIN,CARROT,10.0,1196.0
31 MAR - 6 APR 2025,2025,BARBERTON PNP,CHOCOLATE,44.0,4400.0
31 MAR - 6 APR 2025,2025,BARBERTON PNP,VANILLA,53.0,5300.0
31 MAR - 6 APR 2025,2025,BARBERTON PNP,COFFEE,18.0,1800.0
31 MAR - 6 APR 2025,2025,BARBERTON PNP,CARROT,33.0,3300.0
31 MAR - 6 APR 2025,2025,BARBERTON PNP,DARKM,63.0,6300.0
